,team,total_num_games,opponent,sum_points,num_games,pct_points
54,Atalanta,570.0,Siena,22.0,12.0,61.11111111111112
29,Atalanta,570.0,Catania,16.0,14.0,38.095238095238095
25,Atalanta,570.0,Bologna,47.0,24.0,65.27777777777779
38,Atalanta,570.0,Juventus,14.0,28.0,16.666666666666664
33,Atalanta,570.0,Empoli,23.0,14.0,54.761904761904766
58,Atalanta,570.0,Udinese,44.0,30.0,48.888888888888886
27,Atalanta,570.0,Cagliari,43.0,28.0,51.19047619047619
60,Atalanta,570.0,Verona,18.0,14.0,42.85714285714285
39,Atalanta,570.0,Lazio,40.0,30.0,44.44444444444444
47,Atalanta,570.0,Parma,39.0,20.0,65.0
46,Atalanta,570.0,Palermo,26.0,18.0,48.14814814814815
34,Atalanta,570.0,Fiorentina,27.0,30.0,30.0
52,Atalanta,570.0,Sampdoria,39.0,28.0,46.42857142857143
44,Atalanta,570.0,Napoli,38.0,28.0,45.23809523809524
36,Atalanta,570.0,Genoa,41.0,28.0,48.80952380952381
50,Atalanta,570.0,Roma,34.0,30.0,37.77777777777778
43,Atalanta,570.0,Milan,37.0,30.0,41.11111111111111
37,Atalanta,570.0,Inter,30.0,30.0,33.33333333333333
31,Atalanta,570.0,Chievo,36.0,22.0,54.54545454545454
53,Atalanta,570.0,Sassuolo,35.0,18.0,64.81481481481481
57,Atalanta,570.0,Torino,31.0,26.0,39.74358974358975
133,Bologna,494.0,Sassuolo,22.0,16.0,45.83333333333333
137,Bologna,494.0,Torino,20.0,20.0,33.33333333333333
127,Bologna,494.0,Parma,23.0,16.0,47.91666666666667
110,Bologna,494.0,Catania,20.0,12.0,55.55555555555556
117,Bologna,494.0,Genoa,35.0,26.0,44.87179487179488
130,Bologna,494.0,Roma,20.0,26.0,25.64102564102564
120,Bologna,494.0,Lazio,23.0,26.0,29.48717948717949
108,Bologna,494.0,Cagliari,31.0,24.0,43.05555555555556
138,Bologna,494.0,Udinese,25.0,26.0,32.05128205128205
126,Bologna,494.0,Palermo,16.0,14.0,38.095238095238095
118,Bologna,494.0,Inter,20.0,26.0,25.64102564102564
112,Bologna,494.0,Chievo,26.0,20.0,43.333333333333336
119,Bologna,494.0,Juventus,9.0,26.0,11.538461538461538
140,Bologna,494.0,Verona,19.0,12.0,52.77777777777778
132,Bologna,494.0,Sampdoria,38.0,24.0,52.77777777777778
115,Bologna,494.0,Fiorentina,18.0,26.0,23.07692307692308
123,Bologna,494.0,Milan,12.0,26.0,15.384615384615383
124,Bologna,494.0,Napoli,22.0,26.0,28.205128205128204
104,Bologna,494.0,Atalanta,20.0,24.0,27.77777777777778
169,Cagliari,608.0,Bologna,34.0,24.0,47.22222222222222
195,Cagliari,608.0,Sassuolo,19.0,16.0,39.58333333333333
186,Cagliari,608.0,Napoli,20.0,28.0,23.809523809523807
166,Cagliari,608.0,Atalanta,37.0,28.0,44.04761904761904
173,Cagliari,608.0,Chievo,22.0,24.0,30.55555555555556
194,Cagliari,608.0,Sampdoria,48.0,30.0,53.333333333333336
171,Cagliari,608.0,Catania,23.0,16.0,47.91666666666667
179,Cagliari,608.0,Inter,23.0,32.0,23.958333333333336
178,Cagliari,608.0,Genoa,32.0,28.0,38.095238095238095
199,Cagliari,608.0,Torino,31.0,24.0,43.05555555555556
192,Cagliari,608.0,Roma,26.0,32.0,27.08333333333333
189,Cagliari,608.0,Parma,36.0,24.0,50.0
188,Cagliari,608.0,Palermo,27.0,20.0,45.0
201,Cagliari,608.0,Udinese,36.0,32.0,37.5
181,Cagliari,608.0,Lazio,21.0,32.0,21.875
196,Cagliari,608.0,Siena,17.0,14.0,40.47619047619048
176,Cagliari,608.0,Fiorentina,33.0,32.0,34.375
175,Cagliari,608.0,Empoli,16.0,14.0,38.095238095238095
185,Cagliari,608.0,Milan,9.0,32.0,9.375
203,Cagliari,608.0,Verona,9.0,12.0,25.0
180,Cagliari,608.0,Juventus,14.0,30.0,15.555555555555555
252,Catania,304.0,Udinese,21.0,16.0,43.75
230,Catania,304.0,Chievo,16.0,14.0,38.095238095238095
250,Catania,304.0,Siena,16.0,12.0,44.44444444444444
241,Catania,304.0,Napoli,13.0,14.0,30.952380952380956
224,Catania,304.0,Atalanta,19.0,14.0,45.23809523809524
226,Catania,304.0,Bologna,14.0,12.0,38.88888888888889
244,Catania,304.0,Parma,22.0,14.0,52.38095238095239
228,Catania,304.0,Cagliari,20.0,16.0,41.66666666666667
232,Catania,304.0,Fiorentina,11.0,16.0,22.916666666666664
235,Catania,304.0,Juventus,9.0,14.0,21.428571428571427
234,Catania,304.0,Inter,8.0,16.0,16.666666666666664
233,Catania,304.0,Genoa,21.0,14.0,50.0
243,Catania,304.0,Palermo,21.0,14.0,50.0
240,Catania,304.0,Milan,6.0,16.0,12.5
248,Catania,304.0,Sampdoria,21.0,14.0,50.0
247,Catania,304.0,Roma,17.0,16.0,35.41666666666667
236,Catania,304.0,Lazio,24.0,16.0,50.0
313,Chievo,494.0,Torino,15.0,18.0,27.77777777777778
288,Chievo,494.0,Catania,22.0,14.0,52.38095238095239
308,Chievo,494.0,Roma,16.0,26.0,20.51282051282051
281,Chievo,494.0,Atalanta,21.0,22.0,31.818181818181817
291,Chievo,494.0,Empoli,14.0,12.0,38.88888888888889
310,Chievo,494.0,Sassuolo,14.0,12.0,38.88888888888889
311,Chievo,494.0,Siena,15.0,12.0,41.66666666666667
305,Chievo,494.0,Parma,17.0,18.0,31.48148148148148
286,Chievo,494.0,Cagliari,43.0,24.0,59.72222222222222
297,Chievo,494.0,Lazio,25.0,26.0,32.05128205128205
302,Chievo,494.0,Napoli,21.0,22.0,31.818181818181817
284,Chievo,494.0,Bologna,26.0,20.0,43.333333333333336
295,Chievo,494.0,Inter,13.0,26.0,16.666666666666664
309,Chievo,494.0,Sampdoria,27.0,24.0,37.5
292,Chievo,494.0,Fiorentina,17.0,26.0,21.7948717948718
304,Chievo,494.0,Palermo,28.0,20.0,46.66666666666666
315,Chievo,494.0,Udinese,28.0,26.0,35.8974358974359
301,Chievo,494.0,Milan,6.0,26.0,7.6923076923076925
294,Chievo,494.0,Genoa,32.0,22.0,48.48484848484848
296,Chievo,494.0,Juventus,10.0,24.0,13.88888888888889
354,Empoli,304.0,Juventus,4.0,14.0,9.523809523809524
365,Empoli,304.0,Roma,9.0,16.0,18.75
359,Empoli,304.0,Milan,11.0,16.0,22.916666666666664
350,Empoli,304.0,Fiorentina,15.0,16.0,31.25
342,Empoli,304.0,Atalanta,14.0,14.0,33.33333333333333
352,Empoli,304.0,Genoa,12.0,12.0,33.33333333333333
348,Empoli,304.0,Chievo,14.0,12.0,38.88888888888889
344,Empoli,304.0,Cagliari,22.0,14.0,52.38095238095239
355,Empoli,304.0,Lazio,13.0,16.0,27.08333333333333
353,Empoli,304.0,Inter,4.0,16.0,8.333333333333332
361,Empoli,304.0,Palermo,21.0,12.0,58.333333333333336
374,Empoli,304.0,Udinese,19.0,16.0,39.58333333333333
367,Empoli,304.0,Sampdoria,16.0,16.0,33.33333333333333
360,Empoli,304.0,Napoli,18.0,12.0,50.0
372,Empoli,304.0,Torino,21.0,14.0,50.0
393,Fiorentina,646.0,Juventus,25.0,32.0,26.041666666666668
402,Fiorentina,646.0,Parma,39.0,24.0,54.16666666666666
405,Fiorentina,646.0,Roma,26.0,34.0,25.49019607843137
383,Fiorentina,646.0,Cagliari,54.0,32.0,56.25
416,Fiorentina,646.0,Verona,23.0,14.0,54.761904761904766
414,Fiorentina,646.0,Udinese,59.0,34.0,57.84313725490197
399,Fiorentina,646.0,Napoli,29.0,30.0,32.22222222222222
378,Fiorentina,646.0,Atalanta,54.0,30.0,60.0
392,Fiorentina,646.0,Inter,29.0,34.0,28.431372549019606
